edu,weight,coding,indg,total,totalindg,indgratio,edu2,indg2
3,1729.37315,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,3709.26925,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,3036.65324,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,2984.39629,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,1210.08016,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,573.35424,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,4983.84008,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,3594.42729,1,1,32876.08118,8019.79136,24.3940003557322,Bachelors or more,Indigenous Peoples
2,4576.90401,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,3300.94944,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,1311.29269,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,3695.75758,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,1987.83252,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,2728.58073,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,5057.35845,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,4288.87084,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,2651.05239,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,2072.01624,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,3348.40646,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,457.22211,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,972.66572,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,4531.69692,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
1,2550.87976,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
1,6123.51487,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
3,4340.13946,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,1023.247,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,1728.71873,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,1575.34263,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,1057.11558,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,3861.78429,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,4476.34679,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,2076.90883,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,1588.3491,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,1301.97691,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,8277.36156,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,1069.82337,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
1,3775.30871,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
2,2622.24174,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,97.1428,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,1545.73698,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
1,1049.08575,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
2,367.87333,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,1660.07455,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,5091.59276,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,1651.34143,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,426.95233,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
1,3136.10191,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
3,2940.19272,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,2591.35608,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,2700.43836,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,5695.82312,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,1654.42887,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,2660.47678,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,3192.74767,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,2109.25875,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,466.39502,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,2274.12158,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,1575.34263,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,2109.25875,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
1,3249.53449,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
2,537.40886,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,1636.6409,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,4796.24983,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,377.0891,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,2581.78483,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,3771.77174,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,2858.30359,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,4986.07027,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,1276.10757,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,2215.87005,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,5038.69601,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,1879.02243,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,4503.85811,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,2472.84617,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,3228.62937,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,747.98484,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
1,1039.95844,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
1,5368.87054,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
